UP_id	tax_group
UniRef50_A0A2D6PAA6	Archaea
UniRef50_A0A2D6PAE2	Archaea
UniRef50_A0A2D6PAJ1	Archaea
UniRef50_A0A2D6PAN7	Archaea
UniRef50_A0A2D6PAP6	Archaea
UniRef50_A0A2D6PAQ2	Archaea
UniRef50_A0A2D6PAV9	Archaea
UniRef50_A0A2D6PBE9	Archaea
UniRef50_A0A2D6PC40	Archaea
UniRef50_A0A2D6PCM3	Archaea
UniRef50_A0A2D6PDG7	Archaea
UniRef50_A0A2D6PHP4	Archaea
UniRef50_A0A2D6PJ44	Archaea
UniRef50_A0A2D6PRY6	Bacteria
UniRef50_A0A2D6Q2A5	Bacteria
UniRef50_A0A2D6Q2X9	Bacteria
UniRef50_A0A2D6Q2Y7	Bacteria
UniRef50_A0A2D6Q318	Bacteria
UniRef50_A0A2D6Q389	Bacteria
UniRef50_A0A2D6Q5T3	Archaea
UniRef50_A0A2D6Q5T9	Archaea
UniRef50_A0A2D6Q8C6	Archaea
UniRef50_A0A2D6Q8Z0	Archaea
UniRef50_A0A2D6Q959	Archaea
UniRef50_A0A2D6Q9H8	Archaea
UniRef50_A0A2D6Q9I8	Archaea
UniRef50_A0A2D6QAK2	Archaea
UniRef50_A0A2D6QGH5	Bacteria
UniRef50_A0A2D6QGS8	Bacteria
UniRef50_A0A2D6QIQ9	Bacteria
UniRef50_A0A2D6QNA8	Bacteria
UniRef50_A0A2D6QND5	Bacteria
UniRef50_A0A2D6QPM2	Bacteria
UniRef50_A0A2D6QSN0	Bacteria
UniRef50_A0A2D6QTA4	Bacteria
UniRef50_A0A2D6QU31	Bacteria
UniRef50_A0A2D6QW76	Bacteria
UniRef50_A0A2D6QWE4	Bacteria
UniRef50_A0A2D6QWE9	Bacteria
UniRef50_A0A2D6QWR9	Bacteria
UniRef50_A0A2D6QWS7	Bacteria
UniRef50_A0A2D6R0W6	Bacteria
UniRef50_A0A2D6R296	Bacteria
UniRef50_A0A2D6R4J6	Bacteria
UniRef50_A0A2D6R5J8	Archaea
UniRef50_A0A2D6R885	Archaea
UniRef50_A0A2D6R8G3	Archaea
UniRef50_A0A2D6R918	Archaea
UniRef50_A0A2D6RF92	Bacteria
UniRef50_A0A2D6RG57	Bacteria
UniRef50_A0A2D6RIC4	Bacteria
UniRef50_A0A2D6RK66	Archaea
UniRef50_A0A2D6RLH9	Archaea
UniRef50_A0A2D6RTX7	Bacteria
UniRef50_A0A2D6S787	Bacteria
UniRef50_A0A2D6SC96	Bacteria
UniRef50_A0A2D6SF47	Bacteria
UniRef50_A0A2D6SHV5	Bacteria
UniRef50_A0A2D6ST75	Bacteria
UniRef50_A0A2D6SV97	Bacteria
UniRef50_A0A2D6SWK8	Bacteria
UniRef50_A0A2D6SXZ1	Bacteria
UniRef50_A0A2D6SY01	Bacteria
UniRef50_A0A2D6T3M2	Bacteria
UniRef50_A0A2D6T4N0	Bacteria
UniRef50_A0A2D6T6A7	Bacteria
UniRef50_A0A2D6T733	Bacteria
UniRef50_A0A2D6T900	Bacteria
UniRef50_A0A2D6TAS5	Bacteria
UniRef50_A0A2D6TJC0	Archaea
UniRef50_A0A2D6TKZ5	Bacteria
UniRef50_A0A2D6TNN4	Archaea
